date,value
10/16/2011,0.4448
11/1/2011,0.5011
11/17/2011,0.338
12/3/2011,0.3966
12/19/2011,0.3862
1/1/2012,0.3862
1/17/2012,0.3633
2/2/2012,0.363
2/18/2012,0.3462
3/5/2012,0.196
3/21/2012,0.2426
4/6/2012,0.4239
4/22/2012,0.4772
5/8/2012,0.5066
5/24/2012,0.5249
6/9/2012,0.5624
6/25/2012,0.4763
7/11/2012,0.4701
7/27/2012,0.3971
8/12/2012,0.4296
8/28/2012,0.5034
9/13/2012,0.443
9/29/2012,0.388
10/15/2012,0.3863
10/31/2012,0.3987
11/16/2012,0.4515
2/2/2012_A,0.3604
12/18/2012,0.2437
1/1/2013,0.2437
1/17/2013,0.3779
2/2/2013,0.3984
2/18/2013,0.2435
3/6/2013,0.2914
3/22/2013,0.3794
4/7/2013,0.493
4/23/2013,0.4562
5/9/2013,0.4293
5/25/2013,0.486
6/10/2013,0.4944
6/26/2013,0.4603
7/12/2013,0.4384
7/28/2013,0.3951
8/13/2013,0.4075
8/29/2013,0.4222
9/14/2013,0.427
9/30/2013,0.4341
10/16/2013,0.4576
11/1/2013,0.3413
11/17/2013,0.3049
12/3/2013,0.3136
12/19/2013,0.478
1/1/2014,0.2481
1/17/2014,0.3305
2/2/2014,0.3916
2/18/2014,0.3948
3/6/2014,0.3073
3/22/2014,0.3424
4/7/2014,0.3252
4/23/2014,0.4534
5/9/2014,0.5
5/25/2014,0.45
6/10/2014,0.4192
6/26/2014,0.4704
7/12/2014,0.5319
7/28/2014,0.4043
8/13/2014,0.5145
8/29/2014,0.4698
9/14/2014,0.4616
9/30/2014,0.4813
10/16/2014,0.4263
11/1/2014,0.314
11/17/2014,0.1026
12/3/2014,0.2686
12/19/2014,0.4736
1/1/2015,0.3169
1/17/2015,0.2478
2/2/2015,0.3664
2/18/2015,0.2136
3/6/2015,0.2313
3/22/2015,0.3347
4/7/2015,0.4027
4/23/2015,0.446
5/9/2015,0.4846
5/25/2015,0.589
6/10/2015,0.5659
6/26/2015,0.507
7/12/2015,0.4178
7/28/2015,0.419
8/13/2015,0.4452
8/29/2015,0.4588
9/14/2015,0.4979
9/30/2015,0.459
10/16/2015,0.3602
11/1/2015,0.4174
11/17/2015,0.387
12/3/2015,0.3648
12/19/2015,0.4537
1/1/2016,0.2918
1/17/2016,0.051
2/2/2016,0.3363
2/18/2016,0.003
3/5/2016,0.3679
3/21/2016,0.3595
4/6/2016,0.4621
4/22/2016,0.4575
5/8/2016,0.504
5/24/2016,0.508
6/9/2016,0.4882
6/25/2016,0.5252
7/11/2016,0.4848
7/27/2016,0.4677
8/12/2016,0.4604
8/28/2016,0.4439
9/13/2016,0.4517
9/29/2016,0.4651
10/15/2016,0.5009
10/31/2016,0.4333
11/16/2016,0.3075
12/2/2016,0.3329
12/18/2016,0.381
1/1/2017,0.0887
1/17/2017,0.1898
2/2/2017,0.3488
2/18/2017,0.2797
3/6/2017,0.2579
3/22/2017,0.3595
4/7/2017,0.3658
4/23/2017,0.4533
5/9/2017,0.5388
5/25/2017,0.532
6/10/2017,0.44
6/26/2017,0.4031
7/12/2017,0.4901
7/28/2017,0.5096
8/13/2017,0.4752
8/29/2017,0.5006
9/14/2017,0.372
9/30/2017,0.4425
10/16/2017,0.4747
11/1/2017,0.4718
11/17/2017,0.3894
12/3/2017,0.4236
12/19/2017,0.4355
1/1/2018,0.3773
1/17/2018,0.3909
2/2/2018,0.2692
2/18/2018,0.164
3/6/2018,0.3773
3/22/2018,0.3247
4/7/2018,0.4033
4/23/2018,0.4568
5/9/2018,0.5255
5/25/2018,0.5125
6/10/2018,0.5068
6/26/2018,0.4829
7/12/2018,0.4582
7/28/2018,0.4799
8/13/2018,0.3788
8/29/2018,0.4493
9/14/2018,0.4559
9/30/2018,0.254
10/16/2018,0.4529
11/1/2018,0.1795
11/17/2018,0.0944
12/3/2018,0.4276
12/19/2018,0.2183
1/1/2019,0.3436
1/17/2019,0.3506
2/2/2019,0.3093
2/18/2019,0.299
3/6/2019,0.2862
3/22/2019,0.276
4/7/2019,0.3333
4/23/2019,0.3448
5/9/2019,0.4411
5/25/2019,0.5001
6/10/2019,0.4171
6/26/2019,0.452
