date,value
2011-10-16,0.4448
2011-11-01,0.5011
2011-11-17,0.338
2011-12-03,0.3966
2011-12-19,0.3862
2012-01-01,0.3862
2012-01-17,0.3633
2012-02-02,0.363
2012-02-18,0.3462
2012-03-05,0.196
2012-03-21,0.2426
2012-04-06,0.4239
2012-04-22,0.4772
2012-05-08,0.5066
2012-05-24,0.5249
2012-06-09,0.5624
2012-06-25,0.4763
2012-07-11,0.4701
2012-07-27,0.3971
2012-08-12,0.4296
2012-08-28,0.5034
2012-09-13,0.443
2012-09-29,0.388
2012-10-15,0.3863
2012-10-31,0.3987
2012-11-16,0.4515
2/2/2012_A,0.3604
2012-12-18,0.2437
2013-01-01,0.2437
2013-01-17,0.3779
2013-02-02,0.3984
2013-02-18,0.2435
2013-03-06,0.2914
2013-03-22,0.3794
2013-04-07,0.493
2013-04-23,0.4562
2013-05-09,0.4293
2013-05-25,0.486
2013-06-10,0.4944
2013-06-26,0.4603
2013-07-12,0.4384
2013-07-28,0.3951
2013-08-13,0.4075
2013-08-29,0.4222
2013-09-14,0.427
2013-09-30,0.4341
2013-10-16,0.4576
2013-11-01,0.3413
2013-11-17,0.3049
2013-12-03,0.3136
2013-12-19,0.478
2014-01-01,0.2481
2014-01-17,0.3305
2014-02-02,0.3916
2014-02-18,0.3948
2014-03-06,0.3073
2014-03-22,0.3424
2014-04-07,0.3252
2014-04-23,0.4534
2014-05-09,0.5
2014-05-25,0.45
2014-06-10,0.4192
2014-06-26,0.4704
2014-07-12,0.5319
2014-07-28,0.4043
2014-08-13,0.5145
2014-08-29,0.4698
2014-09-14,0.4616
2014-09-30,0.4813
2014-10-16,0.4263
2014-11-01,0.314
2014-11-17,0.1026
2014-12-03,0.2686
2014-12-19,0.4736
2015-01-01,0.3169
2015-01-17,0.2478
2015-02-02,0.3664
2015-02-18,0.2136
2015-03-06,0.2313
2015-03-22,0.3347
2015-04-07,0.4027
2015-04-23,0.446
2015-05-09,0.4846
2015-05-25,0.589
2015-06-10,0.5659
2015-06-26,0.507
2015-07-12,0.4178
2015-07-28,0.419
2015-08-13,0.4452
2015-08-29,0.4588
2015-09-14,0.4979
2015-09-30,0.459
2015-10-16,0.3602
2015-11-01,0.4174
2015-11-17,0.387
2015-12-03,0.3648
2015-12-19,0.4537
2016-01-01,0.2918
2016-01-17,0.051
2016-02-02,0.3363
2016-02-18,0.003
2016-03-05,0.3679
2016-03-21,0.3595
2016-04-06,0.4621
2016-04-22,0.4575
2016-05-08,0.504
2016-05-24,0.508
2016-06-09,0.4882
2016-06-25,0.5252
2016-07-11,0.4848
2016-07-27,0.4677
2016-08-12,0.4604
2016-08-28,0.4439
2016-09-13,0.4517
2016-09-29,0.4651
2016-10-15,0.5009
2016-10-31,0.4333
2016-11-16,0.3075
2016-12-02,0.3329
2016-12-18,0.381
2017-01-01,0.0887
2017-01-17,0.1898
2017-02-02,0.3488
2017-02-18,0.2797
2017-03-06,0.2579
2017-03-22,0.3595
2017-04-07,0.3658
2017-04-23,0.4533
2017-05-09,0.5388
2017-05-25,0.532
2017-06-10,0.44
2017-06-26,0.4031
2017-07-12,0.4901
2017-07-28,0.5096
2017-08-13,0.4752
2017-08-29,0.5006
2017-09-14,0.372
2017-09-30,0.4425
2017-10-16,0.4747
2017-11-01,0.4718
2017-11-17,0.3894
2017-12-03,0.4236
2017-12-19,0.4355
2018-01-01,0.3773
2018-01-17,0.3909
2018-02-02,0.2692
2018-02-18,0.164
2018-03-06,0.3773
2018-03-22,0.3247
2018-04-07,0.4033
2018-04-23,0.4568
2018-05-09,0.5255
2018-05-25,0.5125
2018-06-10,0.5068
2018-06-26,0.4829
2018-07-12,0.4582
2018-07-28,0.4799
2018-08-13,0.3788
2018-08-29,0.4493
2018-09-14,0.4559
2018-09-30,0.254
2018-10-16,0.4529
2018-11-01,0.1795
2018-11-17,0.0944
2018-12-03,0.4276
2018-12-19,0.2183
2019-01-01,0.3436
2019-01-17,0.3506
2019-02-02,0.3093
2019-02-18,0.299
2019-03-06,0.2862
2019-03-22,0.276
2019-04-07,0.3333
2019-04-23,0.3448
2019-05-09,0.4411
2019-05-25,0.5001
2019-06-10,0.4171
2019-06-26,0.452
2019-07-12,0.4684
2019-07-28,0.3346
2019-08-13,0.4158
2019-08-29,0.3871
2019-09-14,0.347
2019-09-30,0.386
2019-10-16,0.3569
2019-11-01,0.3793
2019-11-17,0.3578
2019-12-03,0.3684
2019-12-19,0.2334
2020-01-01,0.2956
2020-01-17,0.3121
2020-02-02,0.2668
