"date","value"
16-10-2011,0.4448
11-01-2011,0.5011
17-11-2011,0.338
12-03-2011,0.3966
19-12-2011,0.3862
01-01-2012,0.3862
17-01-2012,0.3633
02-02-2012,0.363
18-02-2012,0.3462
03-05-2012,0.196
21-03-2012,0.2426
04-06-2012,0.4239
22-04-2012,0.4772
05-08-2012,0.5066
24-05-2012,0.5249
06-09-2012,0.5624
25-06-2012,0.4763
07-11-2012,0.4701
27-07-2012,0.3971
08-12-2012,0.4296
28-08-2012,0.5034
13-09-2012,0.443
29-09-2012,0.388
15-10-2012,0.3863
31-10-2012,0.3987
16-11-2012,0.4515
2-02-2012_A,0.3604
18-12-2012,0.2437
01-01-2013,0.2437
17-01-2013,0.3779
02-02-2013,0.3984
18-02-2013,0.2435
03-06-2013,0.2914
22-03-2013,0.3794
04-07-2013,0.493
23-04-2013,0.4562
05-09-2013,0.4293
25-05-2013,0.486
06-10-2013,0.4944
26-06-2013,0.4603
07-12-2013,0.4384
28-07-2013,0.3951
13-08-2013,0.4075
29-08-2013,0.4222
14-09-2013,0.427
30-09-2013,0.4341
16-10-2013,0.4576
11-01-2013,0.3413
17-11-2013,0.3049
12-03-2013,0.3136
19-12-2013,0.478
01-01-2014,0.2481
17-01-2014,0.3305
02-02-2014,0.3916
18-02-2014,0.3948
03-06-2014,0.3073
22-03-2014,0.3424
04-07-2014,0.3252
23-04-2014,0.4534
05-09-2014,0.5
25-05-2014,0.45
06-10-2014,0.4192
26-06-2014,0.4704
07-12-2014,0.5319
28-07-2014,0.4043
13-08-2014,0.5145
29-08-2014,0.4698
14-09-2014,0.4616
30-09-2014,0.4813
16-10-2014,0.4263
11-01-2014,0.314
17-11-2014,0.1026
12-03-2014,0.2686
19-12-2014,0.4736
01-01-2015,0.3169
17-01-2015,0.2478
02-02-2015,0.3664
18-02-2015,0.2136
03-06-2015,0.2313
22-03-2015,0.3347
04-07-2015,0.4027
23-04-2015,0.446
05-09-2015,0.4846
25-05-2015,0.589
06-10-2015,0.5659
26-06-2015,0.507
07-12-2015,0.4178
28-07-2015,0.419
13-08-2015,0.4452
29-08-2015,0.4588
14-09-2015,0.4979
30-09-2015,0.459
16-10-2015,0.3602
11-01-2015,0.4174
